alpha,delta,class
235.8200703,30.52350071,GALAXY
234.785777,30.92388849,GALAXY
233.4412817,31.67567102,GALAXY
129.6314055,28.87200711,GALAXY
187.1006367,-2.514541896,QSO
329.6450786,18.57462453,QSO
328.3770947,18.38453165,GALAXY
317.7220038,8.125004974,GALAXY
214.9224368,56.62172095,GALAXY
21.02211028,31.56719354,QSO
352.4763402,32.08368061,QSO
119.622158,30.65082507,GALAXY
132.7799387,41.15902344,GALAXY
131.2592813,39.9209518,GALAXY
140.3021651,45.21266285,GALAXY
44.24712306,3.068179714,GALAXY
44.7265667,3.113345624,GALAXY
131.9823678,46.40428599,GALAXY
118.180953,9.495323049,STAR
126.8565997,13.04305812,STAR
131.7161646,62.70512752,QSO
131.7952121,62.6119989,STAR
2.826430318,16.17365044,GALAXY
167.3392706,32.52540313,GALAXY
117.4670379,28.53683285,GALAXY
13.65664102,15.15656924,QSO
226.8658046,52.63741426,GALAXY
246.2735186,27.68818981,GALAXY
338.6799185,2.534135046,QSO
348.2478408,21.12179841,STAR
352.6070757,20.12433403,GALAXY
210.7974015,27.23383245,GALAXY
178.0560742,68.0521245,GALAXY
47.23418626,0.732158468,QSO
339.9403581,10.81431812,STAR
130.9928365,29.72106576,GALAXY
132.0914211,30.33595725,STAR
133.9514272,31.4733525,GALAXY
127.115773,27.33186513,GALAXY
353.9582671,32.18366658,STAR
338.0557631,22.82295584,GALAXY
344.0177535,23.76246073,GALAXY
128.713522,38.32046854,GALAXY
356.7913071,33.92740899,STAR
8.352585229,12.05956046,GALAXY
10.21957232,11.99542459,GALAXY
316.8945139,7.804129015,GALAXY
32.28962496,-1.156283409,GALAXY
243.918745,25.59335694,GALAXY
193.8320657,-2.533233397,QSO
338.2832674,20.1386179,STAR
344.1378887,-0.338069127,GALAXY
329.321952,18.55996885,GALAXY
351.3146791,11.59179207,GALAXY
26.79775039,11.17946464,GALAXY
27.92420934,10.9933576,GALAXY
331.690805,-0.361522166,GALAXY
242.4132119,26.76744408,GALAXY
148.5913752,4.751633354,GALAXY
249.9361054,45.38608319,QSO
122.734614,39.11211548,GALAXY
188.0850377,7.638667655,GALAXY
191.7935075,7.463992291,GALAXY
172.8092675,35.98916843,GALAXY
179.5148699,36.33939143,GALAXY
179.8589312,36.52957456,GALAXY
154.7484594,24.0636787,GALAXY
347.1281869,-1.862916815,GALAXY
349.5761689,2.650846113,QSO
14.12311387,15.14281544,GALAXY
6.644481658,15.21359257,GALAXY
127.7107753,1.753036779,GALAXY
347.7965942,18.92028703,QSO
227.7210371,44.08425424,STAR
240.3012216,18.96315568,QSO
2.213091551,3.322291887,QSO
7.425832847,3.180721243,QSO
16.53625631,3.23664949,QSO
218.4630024,14.6588068,STAR
173.650657,67.8735874,GALAXY
134.2819875,24.10479243,GALAXY
258.7447245,42.56706303,STAR
148.5275911,48.43632859,GALAXY
147.4963277,54.0541557,GALAXY
134.1487106,31.56686271,GALAXY
341.0514358,20.65576759,GALAXY
231.904289,32.36150133,GALAXY
354.4642304,33.79669008,STAR
335.8660388,10.40620957,GALAXY
11.03576271,11.91987359,GALAXY
317.6047685,8.076983919,GALAXY
345.3090537,19.20902725,GALAXY
341.5029093,-0.308396891,QSO
29.02685253,10.97058965,GALAXY
11.70155906,11.95248456,STAR
14.27879291,11.77552273,QSO
136.935013,1.209019422,GALAXY
116.4999583,27.41656694,STAR
342.9575058,23.64538213,GALAXY
170.1629741,5.57784538,GALAXY
199.0765553,7.482948506,GALAXY
174.2762741,7.487240097,GALAXY
197.5947036,7.320577219,GALAXY
164.7469432,32.11696603,GALAXY
135.214699,46.13655477,QSO
136.1221312,46.71246107,STAR
148.6703216,15.2903157,GALAXY
154.8752425,16.21198518,GALAXY
160.7764511,23.0534298,STAR
137.0858853,1.314577329,GALAXY
340.0696624,-0.33628828,GALAXY
333.3064195,-0.257726561,GALAXY
237.3771394,29.57411598,GALAXY
235.1465621,30.86004437,GALAXY
339.392479,20.31721849,GALAXY
158.8995337,21.9252219,STAR
152.006316,23.56406243,GALAXY
40.99360109,3.583987412,GALAXY
42.56946992,33.44735175,STAR
156.3650467,50.91106256,GALAXY
117.3921413,28.36067648,GALAXY
15.86594041,30.49069566,GALAXY
330.9386933,26.50090739,GALAXY
8.637128353,-1.127558287,QSO
31.42925227,-1.168346635,GALAXY
156.9982921,57.70399925,QSO
148.5589532,48.47919266,GALAXY
164.2795913,52.71720816,GALAXY
169.6014939,53.38231446,GALAXY
171.7092841,59.34015916,GALAXY
204.3248639,58.64215572,GALAXY
189.7457265,59.93979349,GALAXY
169.9016751,7.165635272,GALAXY
144.855506,31.28564454,GALAXY
140.8046211,35.01573986,GALAXY
163.2493246,26.87263956,STAR
351.4000383,11.54897763,GALAXY
356.2771107,11.86905691,GALAXY
20.59393918,11.62425615,GALAXY
329.672984,18.52048285,GALAXY
7.759489968,11.9596717,GALAXY
318.591788,1.958233118,GALAXY
193.1980924,47.99669245,GALAXY
335.3872551,19.73881578,GALAXY
344.5191355,12.37717138,QSO
345.3987307,12.44418158,STAR
8.07161932,-8.200243141,GALAXY
147.1794173,47.78008482,QSO
127.47362,3.876962767,GALAXY
16.19032409,11.83191166,QSO
126.0968996,29.68084505,QSO
65.03976872,28.0887726,GALAXY
224.6392951,39.92890268,GALAXY
332.4260586,21.69375461,GALAXY
112.676211,26.52397933,QSO
350.5220278,19.74120838,GALAXY
346.2535974,21.28440595,GALAXY
1.597171234,16.19317849,GALAXY
185.3332698,7.657402628,GALAXY
198.298056,7.355357362,GALAXY
339.9673713,-0.413464372,GALAXY
1.055017136,-7.943564451,GALAXY
215.0392737,3.779828833,GALAXY
346.6395668,-1.948705757,GALAXY
162.2760315,25.62642235,GALAXY
117.1946223,18.21397212,STAR
14.11009355,11.84287769,QSO
195.1444964,37.07194102,GALAXY
10.99872811,22.30295529,STAR
244.4923445,62.21232485,STAR
243.3032266,53.00432129,GALAXY
223.3067052,61.3437407,GALAXY
226.2002083,60.12457217,GALAXY
176.6127657,20.8304984,GALAXY
243.6740637,9.251630095,QSO
159.7692054,51.71363053,GALAXY
160.6638379,51.79272539,GALAXY
169.4618224,53.39229232,GALAXY
343.9859683,-0.395504231,GALAXY
244.1013958,25.66092565,GALAXY
2.891352509,1.480127693,QSO
4.213670964,1.632477171,QSO
143.4157598,36.28978629,GALAXY
141.6389127,35.30324059,GALAXY
339.0425509,-0.290113332,GALAXY
19.63219345,11.53069663,GALAXY
211.56048,4.009938638,GALAXY
12.7489369,15.1109869,GALAXY
198.4196843,47.533219,GALAXY
201.2419737,47.13490337,GALAXY
197.0852202,47.60810154,GALAXY
207.3605006,46.07029705,GALAXY
39.92286043,29.17409876,STAR
354.7892568,3.152426221,STAR
342.1334137,-0.275945005,GALAXY
232.5136511,32.07412388,GALAXY
340.9332228,20.66612562,GALAXY
7.677618573,32.65042125,QSO
134.7352348,42.14271668,GALAXY
340.7164608,23.25458096,GALAXY
126.6230494,36.57639442,GALAXY
11.63293111,11.88320507,STAR
11.98296153,11.81389198,QSO
157.4583048,44.49661173,STAR
3.963846167,-2.988126058,QSO
346.2989194,22.25751691,STAR
122.3337519,38.78005338,GALAXY
267.1009625,26.41151683,STAR
192.3212316,7.510980236,GALAXY
175.8827017,7.408145075,GALAXY
250.7298983,21.03763806,GALAXY
249.2426464,22.21438172,GALAXY
7.122556345,-7.934284398,GALAXY
232.8504286,22.05459844,QSO
151.1545487,49.19454732,GALAXY
348.0889224,21.56803298,STAR
332.156615,18.98975471,GALAXY
229.2629359,33.70738484,GALAXY
11.65846821,11.99550839,GALAXY
10.28382317,20.43865647,GALAXY
26.95743641,19.17051314,GALAXY
218.5224991,47.83678434,QSO
146.0970541,47.53184289,GALAXY
144.2899481,46.54671343,GALAXY
147.8271085,47.99313472,GALAXY
147.9306526,48.02729788,GALAXY
258.45783,24.0278394,GALAXY
135.2828301,48.2782837,GALAXY
351.6282033,19.82204428,GALAXY
343.2814432,19.01871074,GALAXY
219.309489,-2.434847998,QSO
127.8718863,27.83679787,GALAXY
127.1498864,27.32255788,GALAXY
131.4355096,30.053035,GALAXY
132.0168339,30.3625678,GALAXY
134.8534441,31.9885588,GALAXY
121.6403917,32.5046315,GALAXY
137.1873485,43.59688473,GALAXY
334.4003118,22.11461765,GALAXY
229.7478772,33.31677447,GALAXY
359.9463159,12.01931784,GALAXY
0.417823185,11.92581184,GALAXY
21.18926153,11.49782234,GALAXY
9.289211993,-1.188366138,GALAXY
8.034590912,-8.299665908,GALAXY
178.0314783,54.19589389,QSO
179.8384053,54.31469998,QSO
145.493719,47.25856198,STAR
129.0847522,4.206386205,GALAXY
323.4598366,8.813446338,GALAXY
137.9954786,10.77927215,GALAXY
123.4338381,42.14058367,GALAXY
153.1578233,15.95319171,GALAXY
177.674242,47.51911367,GALAXY
127.9062697,14.3604894,STAR
190.0087576,33.74689603,GALAXY
335.5131394,-0.311128206,GALAXY
169.8677852,7.303328654,GALAXY
39.73863751,3.507176141,GALAXY
39.84830332,3.557609403,QSO
168.6214721,53.34742246,GALAXY
175.6704957,54.20090814,GALAXY
9.397749476,15.21840418,GALAXY
5.519175823,30.84226834,GALAXY
346.5547344,-1.806541633,GALAXY
348.3570462,-1.780626697,STAR
233.9357646,35.80052799,GALAXY
128.6701386,1.668570387,GALAXY
141.2377382,2.140177246,GALAXY
172.6799257,6.707852626,GALAXY
349.387068,21.63116725,STAR
15.54487318,21.99728157,QSO
179.6305004,68.05954052,GALAXY
331.9476571,-0.267837746,GALAXY
233.4711102,31.72476632,GALAXY
241.041779,27.5769016,GALAXY
253.4350873,18.99966312,STAR
145.549371,47.10487469,GALAXY
146.8165878,47.614929,GALAXY
153.1679301,55.87887788,STAR
2.880406064,13.16629381,QSO
229.6963242,33.45339969,GALAXY
238.9871441,28.62244996,GALAXY
349.8644466,33.39021124,GALAXY
7.526188753,3.264429589,QSO
176.8571939,68.12157584,GALAXY
180.4386167,54.33666243,GALAXY
180.9648895,54.49788011,QSO
146.8951646,47.69325274,STAR
337.519826,-0.309739498,GALAXY
334.6561688,22.31811299,GALAXY
335.1022474,22.33198761,GALAXY
126.3041285,36.51116911,GALAXY
135.656066,32.51330968,GALAXY
334.8880359,19.5167662,STAR
348.7897367,11.44691764,GALAXY
16.37836791,11.69268117,GALAXY
270.4441981,24.39841157,STAR
243.4596093,4.321557871,QSO
44.63524672,3.063170639,GALAXY
186.3661963,33.8429488,GALAXY
124.1273645,38.24138894,STAR
183.8972746,7.693968192,GALAXY
186.5467259,7.666925971,GALAXY
209.6198974,6.943111479,GALAXY
347.6540663,-1.825285075,GALAXY
349.7482267,18.29671179,STAR
343.1339189,29.62478717,GALAXY
346.7132342,23.76660561,STAR
347.9832671,21.40152297,STAR
349.3137379,19.07582635,QSO
164.2291215,52.67319859,GALAXY
144.8889914,46.99661763,GALAXY
222.2421555,3.429808516,GALAXY
335.8309035,2.575892689,QSO
350.5724017,2.83138955,QSO
344.5880518,12.44653956,QSO
130.3468039,1.847374759,GALAXY
19.37185613,11.68101942,GALAXY
25.20309637,11.22987032,GALAXY
149.5725959,45.46422114,QSO
152.0945096,46.29844762,GALAXY
163.8260992,49.15985714,GALAXY
6.832538412,22.29219664,QSO
232.422771,21.02572042,GALAXY
184.8339097,-2.004269886,QSO
343.8643584,-0.230265986,GALAXY
39.4089705,28.2861327,STAR
1.097835741,1.554762443,QSO
243.5885544,4.246595889,STAR
43.68551589,3.137418031,GALAXY
6.865936859,-7.154726112,GALAXY
11.50539326,15.25058183,GALAXY
331.8647524,18.99078603,GALAXY
3.114580986,13.23511063,QSO
234.4188514,31.23676215,GALAXY
232.9009377,32.01260829,GALAXY
193.8695645,-2.531345135,STAR
253.9064188,18.66393144,GALAXY
145.1412154,28.29247837,GALAXY
3.049543324,3.202809534,QSO
14.70339174,3.189159826,STAR
179.9065231,54.41283395,QSO
181.6663413,54.43828419,QSO
241.9543419,26.9458478,GALAXY
9.687321898,1.508855044,QSO
356.1705293,11.93282979,GALAXY
345.705024,2.76970987,QSO
335.7504121,-0.337589533,GALAXY
336.2301874,-0.383978191,GALAXY
336.4022646,-0.417446175,GALAXY
333.8726221,-0.293213537,GALAXY
231.3316642,32.59887767,GALAXY
234.9426976,30.88778359,GALAXY
231.0390141,32.85603194,GALAXY
319.1862169,9.493415804,STAR
144.7926477,5.905970111,GALAXY
145.8610616,14.78074021,GALAXY
176.5891541,33.51802635,GALAXY
346.8925828,-1.841838145,GALAXY
347.2726671,-1.919714016,GALAXY
176.1047589,7.499846889,GALAXY
173.6980601,7.491185896,GALAXY
64.81169724,15.38146863,GALAXY
239.9841022,18.91234496,QSO
228.0188263,52.05365719,GALAXY
175.5412518,54.12807402,GALAXY
344.1506756,18.37791435,STAR
252.7871529,20.53972125,STAR
152.6315191,2.417828104,GALAXY
156.5787196,2.456176571,GALAXY
345.8254893,19.31880176,GALAXY
340.1328008,2.826268675,GALAXY
0.024257885,22.28844885,QSO
214.7750241,26.23138944,GALAXY
199.0253755,28.8561429,GALAXY
172.3219303,53.70625135,GALAXY
167.9888963,58.92479907,GALAXY
132.5834205,30.69204044,GALAXY
144.6131762,31.13358535,GALAXY
137.9875365,33.68955339,GALAXY
6.289883944,13.23816913,QSO
240.2018316,27.98621504,GALAXY
232.1228315,32.28420657,GALAXY
345.1456628,32.66201398,QSO
1.678368065,34.25049934,STAR
14.24468839,11.86218451,GALAXY
318.8293504,8.100133271,GALAXY
332.1745036,19.15222328,GALAXY
345.3528987,21.23323553,QSO
340.7136415,20.66889946,GALAXY
178.8189832,54.2404721,QSO
146.517409,47.69229715,QSO
221.2437168,21.32521685,STAR
166.6736446,-2.47546925,GALAXY
335.6285421,-0.295779174,GALAXY
339.0865754,-0.268632915,GALAXY
353.7109154,32.15841721,QSO
1.794516297,32.58467149,STAR
10.6863996,32.54273854,GALAXY
140.0064153,11.10897818,GALAXY
124.6531895,28.76651475,STAR
243.4320545,4.313187809,STAR
147.2619669,20.43922946,QSO
186.7435908,33.76680391,GALAXY
115.8144913,30.14471058,QSO
126.7540855,40.3712925,QSO
359.0772657,20.16743593,GALAXY
158.0626043,24.75343981,GALAXY
200.5081031,66.57943527,GALAXY
15.2372704,11.87162669,STAR
45.23644306,37.2187836,STAR
37.48922767,25.19873483,STAR
192.9295696,29.48200425,GALAXY
342.6837676,12.26037054,STAR
252.9435362,20.44823702,STAR
346.1055067,2.863849922,GALAXY
357.1538849,2.951011897,GALAXY
8.032881527,22.2607896,GALAXY
226.2250465,44.80585477,STAR
241.6159363,36.18311799,STAR
359.9398061,26.44972815,GALAXY
195.8158343,-2.595430939,STAR
193.6557876,-2.490771729,QSO
123.6115565,39.75072131,GALAXY
5.466045007,20.36712613,GALAXY
1.776702909,1.655605766,STAR
131.9589688,30.40203509,GALAXY
135.89017,32.61101565,GALAXY
242.9402282,26.19575379,GALAXY
349.1298595,11.51073573,GALAXY
323.6927217,8.991965048,GALAXY
23.90528012,-1.080959921,GALAXY
5.657430228,-1.057122167,GALAXY
220.7695146,14.16436188,QSO
165.3857833,66.95976123,GALAXY
50.12303075,0.801508456,STAR
178.9593107,54.25648727,QSO
148.4614585,48.24987462,STAR
345.6761518,19.24101944,GALAXY
358.8660692,30.59140331,GALAXY
245.1473655,24.81550779,GALAXY
348.4344794,11.4540489,GALAXY
11.49699348,11.81659419,GALAXY
119.5400738,30.39089932,GALAXY
317.3148679,-2.184221549,QSO
337.9030419,2.96471688,QSO
11.58226166,11.8540901,QSO
110.2371941,39.84236007,GALAXY
187.5027213,42.41007993,QSO
130.3053593,43.05897244,STAR
341.4960493,29.89922751,STAR
172.396373,7.433791958,GALAXY
185.3682503,7.694805061,GALAXY
190.4611493,7.56197523,GALAXY
346.8700878,-1.829869223,GALAXY
347.0576079,-1.927973901,GALAXY
347.1338314,-1.89238242,GALAXY
240.9900462,18.50632095,STAR
147.9463213,48.02935427,GALAXY
164.0161873,52.64883209,GALAXY
13.26032535,11.91896972,QSO
357.3920477,20.06448476,GALAXY
158.3973912,24.77217855,GALAXY
186.731729,25.10195753,GALAXY
187.0937407,25.1543975,GALAXY
340.800729,-0.291503192,GALAXY
342.4247322,-0.349250835,GALAXY
239.984236,28.08793504,GALAXY
233.8882219,31.52136201,GALAXY
243.5946033,17.29641389,STAR
230.6660454,10.33035036,STAR
39.69827793,2.637836125,GALAXY
26.16334726,19.29547157,GALAXY
354.5106955,20.25309598,GALAXY
8.716276787,20.38773375,GALAXY
145.747074,31.55962782,GALAXY
234.2077777,31.2765399,GALAXY
252.8730257,19.41662352,GALAXY
30.64563518,-1.142145081,STAR
339.7739124,-0.379776613,QSO
242.0342677,26.92233464,GALAXY
183.7349336,-2.567458991,GALAXY
235.5332742,30.61626018,GALAXY
179.4684864,54.32414142,QSO
11.7908331,11.91302406,STAR
19.61752235,11.64422065,QSO
19.95963791,11.49685307,QSO
20.28805932,11.58118929,QSO
339.9390945,20.42172683,GALAXY
13.78169835,11.7508937,GALAXY
193.6001507,-2.510988316,STAR
132.624276,-1.39793743,GALAXY
121.8631938,32.73027007,GALAXY
336.3664933,22.49278028,GALAXY
117.337927,28.38912619,GALAXY
